bug_id,top1_hit,top3_hit,top5_hit,top1_file_hit,top3_file_hit,top5_file_hit,mrr,map,num_gt_methods,num_gt_files
JacksonCore-10,0,1,1,1,1,1,0.5,0.25,2,1
JacksonCore-11,0,0,0,1,1,1,0.0,0.0,1,1
JacksonCore-12,0,1,1,1,1,1,0.5,0.07142857142857142,7,2
JacksonCore-13,0,0,0,0,0,0,0.0,0,0,0
JacksonCore-14,0,0,1,1,1,1,0.2,0.06666666666666667,3,1
JacksonCore-15,0,0,0,0,1,1,0.0,0.0,1,1
JacksonCore-16,1,1,1,1,1,1,1.0,0.75,2,1
JacksonCore-17,0,0,0,1,1,1,0.0,0.0,2,1
JacksonCore-18,1,1,1,1,1,1,1.0,0.5555555555555555,3,3
JacksonCore-19,0,0,0,1,1,1,0.0,0.0,2,2
JacksonCore-20,1,1,1,1,1,1,1.0,1.0,1,1
JacksonCore-21,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333,1,1
JacksonCore-22,0,0,0,0,1,1,0.0,0.0,3,1
JacksonCore-23,1,1,1,1,1,1,1.0,1.0,1,1
JacksonCore-24,0,0,1,1,1,1,0.25,0.0625,4,2
JacksonCore-25,0,0,0,0,1,1,0.0,0.0,1,1
JacksonCore-26,0,0,0,1,1,1,0.0,0.0,1,1
JacksonDatabind-1,0,0,0,1,1,1,0.0,0.0,1,1
JacksonDatabind-2,0,0,0,0,0,0,0.0,0.0,2,1
JacksonDatabind-3,0,0,0,1,1,1,0.0,0.0,2,1
JacksonDatabind-4,0,0,0,0,0,0,0.0,0.0,2,1
JacksonDatabind-5,0,0,0,1,1,1,0.0,0.0,1,1
JacksonDatabind-6,0,0,0,1,1,1,0.0,0.0,1,1
JacksonDatabind-7,0,0,0,1,1,1,0.0,0.0,1,1
JacksonDatabind-8,0,0,0,0,0,1,0.0,0.0,1,1
JacksonDatabind-9,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-10,0,0,0,1,1,1,0.0,0.0,5,2
JacksonDatabind-11,0,0,0,1,1,1,0.0,0.0,1,1
JacksonDatabind-12,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-13,0,0,0,0,0,1,0.0,0.0,2,2
JacksonDatabind-14,0,0,0,0,1,1,0.0,0.0,1,1
JacksonDatabind-15,0,0,0,1,1,1,0.0,0.0,9,4
JacksonDatabind-16,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-17,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-18,0,1,1,0,1,1,0.3333333333333333,0.08333333333333333,4,1
JacksonDatabind-19,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-20,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-21,0,0,0,0,0,0,0.0,0,0,0
JacksonDatabind-22,0,0,0,0,0,1,0.0,0.0,5,2
JacksonDatabind-23,0,0,0,0,0,0,0.0,0,0,0
JacksonDatabind-24,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-25,0,0,0,0,1,1,0.0,0.0,4,4
JacksonDatabind-26,0,0,0,0,0,0,0.0,0,0,0
JacksonDatabind-27,0,0,0,0,0,1,0.0,0.0,1,1
JacksonDatabind-28,0,0,0,0,1,1,0.0,0.0,1,1
JacksonDatabind-29,0,0,0,0,1,1,0.0,0.0,2,1
JacksonDatabind-30,1,1,1,1,1,1,1.0,0.25,4,2
JacksonDatabind-31,0,0,1,0,1,1,0.25,0.014705882352941176,17,1
JacksonDatabind-32,0,0,0,1,1,1,0.0,0.0,2,2
JacksonDatabind-33,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-34,0,0,0,1,1,1,0.0,0.0,1,1
JacksonDatabind-35,0,0,1,0,0,1,0.2,0.2,1,1
JacksonDatabind-36,0,0,0,1,1,1,0.0,0.0,1,1
JacksonDatabind-37,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-38,1,1,1,1,1,1,1.0,0.3333333333333333,3,3
JacksonDatabind-39,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-40,0,0,0,0,0,0,0.0,0,0,0
JacksonDatabind-41,0,0,0,1,1,1,0.0,0.0,2,1
JacksonDatabind-42,0,0,0,1,1,1,0.0,0.0,1,1
JacksonDatabind-43,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-44,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-45,0,0,0,1,1,1,0.0,0.0,1,1
JacksonDatabind-46,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-47,0,0,0,1,1,1,0.0,0.0,1,1
JacksonDatabind-48,0,0,0,0,0,0,0.0,0.0,2,2
JacksonDatabind-49,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-50,0,0,0,1,1,1,0.0,0.0,1,1
JacksonDatabind-51,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-52,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-53,0,0,0,0,0,0,0.0,0.0,2,1
JacksonDatabind-54,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-55,0,0,0,0,1,1,0.0,0.0,1,1
JacksonDatabind-56,0,0,0,0,1,1,0.0,0.0,1,1
JacksonDatabind-57,0,0,0,1,1,1,0.0,0.0,1,1
JacksonDatabind-58,0,0,0,0,1,1,0.0,0.0,1,1
JacksonDatabind-59,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-60,0,0,0,1,1,1,0.0,0.0,1,1
JacksonDatabind-61,0,0,0,0,0,0,0.0,0.0,3,2
JacksonDatabind-62,0,0,0,0,1,1,0.0,0.0,1,1
JacksonDatabind-63,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-64,0,0,0,1,1,1,0.0,0.0,1,1
JacksonDatabind-65,0,0,0,1,1,1,0.0,0.0,3,2
JacksonDatabind-66,0,0,0,0,0,0,0.0,0.0,1,1
JacksonDatabind-67,0,0,0,1,1,1,0.0,0.0,1,1
JacksonDatabind-68,0,0,0,1,1,1,0.0,0.0,6,1
